*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:01:07:009887,Child Name:,Muhammad
2017-11-30 09:01:07:010074,Reading speed:,0.06with0.06delay
2017-11-30 09:01:07:009828,Instruction:,"NumberOfStart:
2
ChildName:
Muhammad
HandMoveSpeed:
0.06
ReadDelay:
0.08
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:01:21:150154,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:21:256067,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:21:257130,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:21:257428,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:21:360387,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:21:360583,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:21:361030,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:21:458612,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:21:459215,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:21:459348,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:22:020595,Robot Hand Pose: ,"x: 0.197901308537
y: 0.100024864078
z: 0.232965230942
x: 0.00806756131351
y: 0.402642965317
z: -0.0466529466212
w: 1.0"
2017-11-30 09:01:22:021766,Current Word:,\rspd=70\ to
2017-11-30 09:01:22:104215,Robot State:,0.08
2017-11-30 09:01:23:240369,Robot Hand Pose: ,"x: 0.197032004595
y: 0.0898990631104
z: 0.231271117926
x: 0.0101940054446
y: 0.409348368645
z: -0.0984471738338
w: 1.0"
2017-11-30 09:01:23:241402,Current Word:,\rspd=70\ play			
2017-11-30 09:01:23:323639,Robot State:,0.08
2017-11-30 09:01:24:001529,Robot Hand Pose: ,"x: 0.190288320184
y: 0.117265060544
z: 0.222697198391
x: 0.0126568041742
y: 0.459299087524
z: 0.0427877753973
w: 1.0"
2017-11-30 09:01:24:002636,Current Word:,\rspd=70\	He
2017-11-30 09:01:24:058598,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:24:060101,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:24:060378,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:24:085636,Robot State:,0.08
2017-11-30 09:01:24:156816,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:24:157483,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:24:157617,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:24:249208,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:24:250113,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:24:250215,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:24:358779,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:24:359727,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:24:360118,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:24:454816,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:24:455834,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:24:456155,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:24:557182,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:24:558340,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:24:558445,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:24:758031,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:24:759270,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:24:759796,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:24:803001,Robot Hand Pose: ,"x: 0.190190151334
y: 0.119284048676
z: 0.222863525152
x: 0.00722584407777
y: 0.458820939064
z: 0.0546949319541
w: 1.0"
2017-11-30 09:01:24:803972,Current Word:,\rspd=70\ had
2017-11-30 09:01:24:848738,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:24:849011,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:24:849193,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:24:886914,Robot State:,0.08
2017-11-30 09:01:24:956680,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:24:959676,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:24:960002,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:25:059063,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:25:059361,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:25:059494,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:25:153366,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:25:153877,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:25:154307,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:25:257326,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:25:257575,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:25:257816,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:25:355643,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:25:356616,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:25:356737,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:25:450941,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:25:451994,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:25:451900,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:25:559294,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:25:560578,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:25:560827,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:25:582054,Robot Hand Pose: ,"x: 0.190506726503
y: 0.116171963513
z: 0.222622990608
x: 0.00424677180126
y: 0.459472417831
z: 0.0376000031829
w: 1.0"
2017-11-30 09:01:25:582535,Current Word:,\rspd=70\ his
2017-11-30 09:01:25:665301,Robot State:,0.08
2017-11-30 09:01:25:755720,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:25:756614,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:25:756531,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:25:857892,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:25:859542,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:25:859836,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:26:048882,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:26:049760,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:26:049876,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:26:160289,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:26:160659,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:26:160858,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:26:259809,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:26:260674,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:26:260551,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:26:357559,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:26:358841,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:26:359607,Current State of Reading: ,Waiting for Red-card
