*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:16:46:949057,Child Name:,Maya
2017-11-30 09:16:46:948927,Instruction:,"NumberOfStart:
2
ChildName:
Maya
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:16:57:549777,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:57:550099,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:57:550243,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:57:654529,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:57:655453,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:57:655683,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:57:761045,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:57:761696,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:57:761858,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:57:859421,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:57:860085,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:57:860264,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:57:958493,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:57:958752,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:57:958923,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:060630,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:58:061862,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:062182,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:58:163263,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:58:164193,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:58:164457,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:258362,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:58:258912,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:58:259124,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:354684,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:58:355535,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:355751,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:58:461914,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:58:462318,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:462512,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:58:549556,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:58:550174,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:550401,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:58:659522,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:58:660754,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:661024,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:58:664843,Robot Hand Pose: ,"x: 0.100487135351
y: 0.0640863180161
z: 0.175341963768
x: -1.07032191753
y: 0.474533289671
z: -0.563840866089
w: 1.0"
2017-11-30 09:16:58:665609,Current Word:,\rspd=70\ and
2017-11-30 09:16:58:668961,Robot State:,0.0
2017-11-30 09:16:58:860740,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:58:861664,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:58:861848,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:951021,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:58:952074,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:58:952243,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:052181,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:052329,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:052482,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:59:161522,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:162239,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:59:162090,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:261191,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:261919,Detected ARTags: ,"[34, 35]"
