*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-01 09:20:43:223009,Child Name:,Daria
2017-12-01 09:20:43:223137,Instruction:,"NumberOfStart:
1
ChildName:
Daria
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

2017-12-01 09:21:18:968674,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:19:061168,Detected ARTags: ,"90, 91"
2017-12-01 09:21:19:061915,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:19:062109,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:19:158650,Detected ARTags: ,"90, 91"
2017-12-01 09:21:19:159026,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:19:159147,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:19:268774,Detected ARTags: ,"90, 91"
2017-12-01 09:21:19:269969,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:19:270122,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:19:365066,Detected ARTags: ,"90, 91"
2017-12-01 09:21:19:365543,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:19:365762,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:19:465974,Detected ARTags: ,"90, 91"
2017-12-01 09:21:19:467122,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:19:467588,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:19:566324,Detected ARTags: ,"90, 91"
2017-12-01 09:21:19:567373,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:19:567485,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:19:761854,Detected ARTags: ,"90, 91"
2017-12-01 09:21:19:762413,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:19:762342,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:19:861240,Detected ARTags: ,"90, 91"
2017-12-01 09:21:19:861815,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:19:861609,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:19:971010,Detected ARTags: ,"90, 91"
2017-12-01 09:21:19:972678,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:19:972849,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:20:069541,Detected ARTags: ,"90, 91"
2017-12-01 09:21:20:070963,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:20:071135,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:21:751982,Robot Hand Pose: ,"x: 0.198927879333
y: 0.0287658441812
z: 0.258925050497
x: 0.00344286067411
y: 0.261846452951
z: -0.449038356543
w: 1.0"
2017-12-01 09:21:21:752937,Current Word:,\rspd=80\  The flying machine 
2017-12-01 09:21:21:756655,Robot State:,0.0
2017-12-01 09:21:22:867924,Robot State:,Looking at The Book
2017-12-01 09:21:24:666454,Detected ARTags: ,"90, 91"
2017-12-01 09:21:24:667272,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:24:667610,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:24:766929,Detected ARTags: ,"90, 91"
2017-12-01 09:21:24:767860,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:24:768087,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:24:866818,Detected ARTags: ,"90, 91"
2017-12-01 09:21:24:867958,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:24:868427,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:24:965980,Detected ARTags: ,"90, 91"
2017-12-01 09:21:24:966702,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:24:966995,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:25:058326,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:059022,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:059266,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:25:169715,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:169996,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:266781,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:267677,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:25:268143,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:362443,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:363509,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:364002,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:25:468441,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:469189,Current State of Reading: ,Waiting for Red-card
