*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 19:28:03:823213,Child Name:,test
2017-11-30 19:28:11:702995,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:11:703127,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:11:891586,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:11:892025,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:11:892215,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:11:991493,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:11:991907,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:11:992019,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:12:097470,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:12:098430,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:12:098348,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:12:303437,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:12:304573,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:12:304425,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:12:418268,Body Gesture:,Not Pointing
2017-11-30 19:28:12:427202,Robot State:,Reading Mode Started
2017-11-30 19:28:12:427389,Current State of Correction: ,False
2017-11-30 19:28:12:436637,Robot Hand Pose: ,"x: 0.0929011851549
y: 0.112968839705
z: 0.148050874472
x: -1.09095954895
y: 0.784705460072
z: -0.0657231733203
w: 1.0"
2017-11-30 19:28:12:437327,Current Word:,\rspd=80\  As a boy
2017-11-30 19:28:12:439226,Robot State:,0.0
2017-11-30 19:28:12:475523,Robot Hand Pose: ,"x: 0.0932589396834
y: 0.112950377166
z: 0.148146390915
x: -1.09095299244
y: 0.783618450165
z: -0.0658647045493
w: 1.0"
2017-11-30 19:28:12:475941,Current Word:,\rspd=80\ Neil Armstrong
2017-11-30 19:28:12:477673,Robot State:,0.0
2017-11-30 19:28:12:493228,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:12:493683,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:12:493841,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:12:517103,Robot Hand Pose: ,"x: 0.0932973921299
y: 0.113065756857
z: 0.148176670074
x: -1.09126162529
y: 0.78322571516
z: -0.0644955560565
w: 1.0"
2017-11-30 19:28:12:517524,Current Word:,\rspd=80\ was mad
2017-11-30 19:28:12:519744,Robot State:,0.0
2017-11-30 19:28:12:549139,Robot Hand Pose: ,"x: 0.0930815711617
y: 0.112966202199
z: 0.148003816605
x: -1.09108424187
y: 0.785128653049
z: -0.065859541297
w: 1.0"
2017-11-30 19:28:12:549271,Current Word:,\rspd=80\ about
2017-11-30 19:28:12:554384,Robot State:,0.0
2017-11-30 19:28:12:577287,Robot Hand Pose: ,"x: 0.0928866118193
y: 0.112973377109
z: 0.148011475801
x: -1.09108006954
y: 0.785121023655
z: -0.0657978951931
w: 1.0"
2017-11-30 19:28:12:577839,Current Word:,\rspd=80\ planes  		
2017-11-30 19:28:12:580649,Robot State:,0.0
2017-11-30 19:28:12:584994,Robot Hand Pose: ,"x: 0.0928866118193
y: 0.112973377109
z: 0.148011475801
x: -1.09108006954
y: 0.785121023655
z: -0.0657978951931
w: 1.0"
2017-11-30 19:28:12:586469,Current Word:,\rspd=80\  He watched planes
2017-11-30 19:28:12:591523,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:12:592033,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:12:592372,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:12:592464,Robot State:,0.0
2017-11-30 19:28:12:613269,Robot Hand Pose: ,"x: 0.0931449085474
y: 0.112962864339
z: 0.148147210479
x: -1.0909537077
y: 0.783645749092
z: -0.0658057779074
w: 1.0"
2017-11-30 19:28:12:613748,Current Word:,\rspd=80\ at Cleveland
2017-11-30 19:28:12:615780,Robot State:,0.0
2017-11-30 19:28:12:645410,Robot Hand Pose: ,"x: 0.0931141227484
y: 0.113066799939
z: 0.14805740118
x: -1.0897769928
y: 0.78448599577
z: -0.0644976049662
w: 1.0"
2017-11-30 19:28:12:645843,Current Word:,\rspd=80\  airport
2017-11-30 19:28:12:647784,Robot State:,0.0
2017-11-30 19:28:12:676850,Robot Hand Pose: ,"x: 0.0932366773486
y: 0.112976774573
z: 0.148176372051
x: -1.09086215496
y: 0.783361852169
z: -0.0656305477023
w: 1.0"
2017-11-30 19:28:12:677297,Current Word:,\rspd=80\ when
2017-11-30 19:28:12:682020,Robot State:,0.0
2017-11-30 19:28:12:734387,Robot Hand Pose: ,"x: 0.0931898653507
y: 0.112979874015
z: 0.148189157248
x: -1.0892509222
y: 0.783120989799
z: -0.0655820220709
w: 1.0"
2017-11-30 19:28:12:734733,Current Word:,\rspd=80\ he was two		
2017-11-30 19:28:12:736517,Robot State:,0.0
2017-11-30 19:28:12:746263,Robot Hand Pose: ,"x: 0.0931898653507
y: 0.112979874015
z: 0.148189157248
x: -1.0892509222
y: 0.783120989799
z: -0.0655820220709
w: 1.0"
2017-11-30 19:28:12:746632,Current Word:,\rspd=80\  at six
2017-11-30 19:28:12:751578,Robot State:,0.0
2017-11-30 19:28:12:767666,Robot Hand Pose: ,"x: 0.0930133238435
y: 0.112965084612
z: 0.148036450148
x: -1.08942222595
y: 0.784742414951
z: -0.0657786652446
w: 1.0"
2017-11-30 19:28:12:768875,Current Word:,\rspd=80\ he went up
2017-11-30 19:28:12:777532,Robot State:,0.0
2017-11-30 19:28:12:795354,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:12:796428,Robot Hand Pose: ,"x: 0.0932084992528
y: 0.113052375615
z: 0.148263126612
x: -1.09100282192
y: 0.782428503036
z: -0.0642742067575
w: 1.0"
2017-11-30 19:28:12:796953,Current Word:,\rspd=80\ in a plane called
2017-11-30 19:28:12:797039,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:12:797155,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:12:798614,Robot State:,0.0
2017-11-30 19:28:12:820411,Robot Hand Pose: ,"x: 0.0928665995598
y: 0.113034531474
z: 0.147948563099
x: -1.08873736858
y: 0.785900771618
z: -0.0648733079433
w: 1.0"
2017-11-30 19:28:12:820955,Current Word:,\rspd=80\ the tin Goose 	
2017-11-30 19:28:12:823595,Robot State:,0.0
2017-11-30 19:28:12:827629,Robot Hand Pose: ,"x: 0.0928665995598
y: 0.113034531474
z: 0.147948563099
x: -1.08873736858
y: 0.785900771618
z: -0.0648733079433
w: 1.0"
2017-11-30 19:28:12:828194,Current Word:,\rspd=80\ He had
2017-11-30 19:28:12:833417,Robot State:,0.0
2017-11-30 19:28:12:852777,Robot Hand Pose: ,"x: 0.092880256474
y: 0.11305257678
z: 0.148086890578
x: -1.09126150608
y: 0.784335076809
z: -0.0644663348794
w: 1.0"
2017-11-30 19:28:12:852926,Current Word:,\rspd=80\ flying lessons
2017-11-30 19:28:12:854744,Robot State:,0.0
2017-11-30 19:28:12:875180,Robot Hand Pose: ,"x: 0.0930138081312
y: 0.113051168621
z: 0.148036286235
x: -1.08984720707
y: 0.78471249342
z: -0.0646591931581
w: 1.0"
2017-11-30 19:28:12:875575,Current Word:,\rspd=80\ when
2017-11-30 19:28:12:877732,Robot State:,0.0
2017-11-30 19:28:12:895995,Robot Hand Pose: ,"x: 0.0928946882486
y: 0.113044887781
z: 0.147861748934
x: -1.08902454376
y: 0.786802172661
z: -0.065112836659
w: 1.0"
2017-11-30 19:28:12:896279,Current Word:,\rspd=80\ he was still
2017-11-30 19:28:12:900910,Robot State:,0.0
2017-11-30 19:28:12:931293,Robot Hand Pose: ,"x: 0.0932637304068
y: 0.11305180192
z: 0.14800851047
x: -1.08885085583
y: 0.785169422626
z: -0.0649731382728
w: 1.0"
2017-11-30 19:28:12:931820,Current Word:,\rspd=80\ at school 		
2017-11-30 19:28:12:933847,Robot State:,0.0
2017-11-30 19:28:12:960910,Robot Hand Pose: ,"x: 0.0929148122668
y: 0.113157138228
z: 0.147900983691
x: -1.08929502964
y: 0.786285579205
z: -0.0637200474739
w: 1.0"
2017-11-30 19:28:12:961549,Current Word:,\rspd=80\	and
2017-11-30 19:28:12:966049,Robot State:,0.0
2017-11-30 19:28:12:987241,Robot Hand Pose: ,"x: 0.0929066985846
y: 0.113147266209
z: 0.14794704318
x: -1.09072518349
y: 0.785958051682
z: -0.0635959282517
w: 1.0"
2017-11-30 19:28:12:988418,Current Word:,\rspd=80\ he got
2017-11-30 19:28:12:992847,Robot State:,0.0
2017-11-30 19:28:13:008680,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:13:009329,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:13:009404,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:13:016053,Robot Hand Pose: ,"x: 0.0929027050734
y: 0.113445296884
z: 0.147984459996
x: -1.08858954906
y: 0.786052286625
z: -0.0618324130774
w: 1.0"
2017-11-30 19:28:13:016443,Current Word:,\rspd=80\ his
2017-11-30 19:28:13:018465,Robot State:,0.0
2017-11-30 19:28:13:041616,Robot Hand Pose: ,"x: 0.0929211825132
y: 0.113420322537
z: 0.147983670235
x: -1.08860063553
y: 0.786087691784
z: -0.061956923455
w: 1.0"
2017-11-30 19:28:13:042031,Current Word:,\rspd=80\  pirates
2017-11-30 19:28:13:044225,Robot State:,0.0
2017-11-30 19:28:13:075013,Robot Hand Pose: ,"x: 0.0930246263742
y: 0.113433361053
z: 0.147984459996
x: -1.08859789371
y: 0.786078691483
z: -0.0618964061141
w: 1.0"
2017-11-30 19:28:13:076176,Current Word:,\rspd=80\ licence
2017-11-30 19:28:13:078779,Robot State:,0.0
2017-11-30 19:28:13:100208,Robot Hand Pose: ,"x: 0.0932304114103
y: 0.113034419715
z: 0.14805226028
x: -1.09028863907
y: 0.784867405891
z: -0.0649126693606
w: 1.0"
2017-11-30 19:28:13:101655,Current Word:,\rspd=80\ when
2017-11-30 19:28:13:106275,Robot State:,0.0
2017-11-30 19:28:13:138164,Robot Hand Pose: ,"x: 0.0929696932435
y: 0.11343742907
z: 0.147909104824
x: -1.08725583553
y: 0.786689281464
z: -0.0621347166598
w: 1.0"
2017-11-30 19:28:13:139607,Current Word:,\rspd=80\ he was
2017-11-30 19:28:13:142509,Robot State:,0.0
2017-11-30 19:28:13:175855,Robot Hand Pose: ,"x: 0.092990681529
y: 0.113392189145
z: 0.147876024246
x: -1.08722758293
y: 0.786849379539
z: -0.06353161484
w: 1.0"
2017-11-30 19:28:13:176509,Current Word:,\rspd=80\ just 16 
2017-11-30 19:28:13:178540,Robot State:,0.0
2017-11-30 19:28:13:194531,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:13:195127,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:13:195327,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:13:391766,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:13:392224,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:13:392259,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:13:492231,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:13:492559,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:13:492444,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:13:593864,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:13:594127,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:13:594263,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:13:706571,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:13:707310,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:13:707980,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:13:808320,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:13:809831,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:13:809945,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:13:893369,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:13:893802,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:13:893937,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:14:107055,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:14:107772,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:14:107979,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:14:203686,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:14:204843,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:14:205135,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:14:292715,Robot State:,Looking at The Book
2017-11-30 19:28:14:307308,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:14:307642,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:14:307938,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:14:410017,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:14:412003,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:14:412235,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:14:601555,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:14:602401,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:14:602493,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:14:704762,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:14:705287,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:14:705469,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:14:908390,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:14:909103,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:14:909266,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:15:091558,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:15:092234,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:15:092305,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:15:312251,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:15:312584,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:15:312849,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:15:393626,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:15:394373,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:15:394447,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:15:498074,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:15:498844,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:15:499001,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:15:608780,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:15:609586,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:15:609827,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:15:692338,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:15:692781,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:15:692953,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:15:892332,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:15:892606,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:15:892542,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:009676,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:010909,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:16:011063,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:108460,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:109789,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:16:110060,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:213231,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:213617,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:213919,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:16:308854,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:309446,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:16:309359,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:403928,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:404905,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:405240,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:16:507591,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:508271,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:508398,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:16:601246,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:602359,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:16:602115,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:700146,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:700872,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:701101,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:16:812300,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:813904,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:16:813690,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:892073,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:16:892675,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:16:892582,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:17:005230,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:17:006571,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:17:007044,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:17:194641,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:17:195207,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:17:195321,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:17:292483,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:17:292732,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:17:292824,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:17:395057,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:17:395571,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:17:395700,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:17:506028,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:17:507072,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:17:507209,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:17:706478,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:17:707039,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:17:707107,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:17:771334,Robot State:,Looking at The Book
2017-11-30 19:28:17:812964,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:17:813552,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:17:813830,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:17:901442,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:17:902577,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:17:902706,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:095019,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:095627,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:095790,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:192371,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:192827,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:192970,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:291908,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:292346,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:292470,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:407071,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:408061,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:408296,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:497570,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:498143,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:498276,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:599733,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:601042,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:601145,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:702639,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:703798,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:704218,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:811470,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:812254,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:812477,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:892042,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:892556,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:892603,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:18:991841,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:18:992305,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:18:992423,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:19:091662,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:19:092180,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:19:092292,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:19:211336,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:19:213170,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:19:213362,Detected ARTags: ,"[61, 62]"
