*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 20:12:14:143347,Child Name:,test
2017-11-30 20:12:14:143198,Reading speed:,0.05with0.05delay
2017-11-30 20:12:14:143537,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.05
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

2017-11-30 20:12:24:088465,Robot Hand Pose: ,"x: 0.0839821323752
y: 0.114897355437
z: 0.14304164052
x: -1.05473828316
y: 0.843851804733
z: -0.0530426688492
w: 1.0"
2017-11-30 20:12:24:088961,Current Word:,\rspd=80\ licence
2017-11-30 20:12:24:090707,Robot State:,0.0
2017-11-30 20:12:24:109542,Robot Hand Pose: ,"x: 0.0839114636183
y: 0.114902697504
z: 0.143023997545
x: -1.05321609974
y: 0.843972086906
z: -0.0530483797193
w: 1.0"
2017-11-30 20:12:24:109825,Current Word:,\rspd=80\ when
2017-11-30 20:12:24:114900,Robot State:,0.0
2017-11-30 20:12:24:118736,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:24:119290,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:24:119411,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:24:140494,Robot Hand Pose: ,"x: 0.0838576331735
y: 0.114904671907
z: 0.143070995808
x: -1.05459463596
y: 0.843606650829
z: -0.0528237074614
w: 1.0"
2017-11-30 20:12:24:141125,Current Word:,\rspd=80\ he was
2017-11-30 20:12:24:144726,Robot State:,0.0
2017-11-30 20:12:24:202101,Robot Hand Pose: ,"x: 0.0839645713568
y: 0.114887431264
z: 0.143078297377
x: -1.05453646183
y: 0.843528985977
z: -0.0528408735991
w: 1.0"
2017-11-30 20:12:24:202561,Current Word:,\rspd=80\ just 16 
2017-11-30 20:12:24:204207,Robot State:,0.0
2017-11-30 20:12:24:316231,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:24:316720,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:24:316839,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:24:416269,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:24:416756,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:24:416886,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:24:535762,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:24:537177,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:24:537453,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:24:631644,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:24:632314,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:24:632466,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:24:735431,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:24:736350,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:24:736592,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:24:834096,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:24:835338,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:24:835948,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:24:925573,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:24:926064,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:24:926367,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:016975,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:25:019096,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:25:019021,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:116114,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:25:116644,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:25:116690,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:231460,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:25:232064,Detected ARTags: ,"[61, 62]"
