*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 17:40:18:601486,Child Name:,Isabela
2017-11-30 17:40:18:601680,Reading speed:,0.06with0.06delay
2017-11-30 17:40:18:601744,Instruction:,"NumberOfStart:
2
ChildName:
Isabela
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 17:40:29:751588,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:751802,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:751950,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:852095,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:852644,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:852728,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:955440,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:955854,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:956075,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:066927,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:068516,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:068833,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:155869,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:156607,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:156686,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:267962,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:268916,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:269271,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:359736,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:360348,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:360598,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:451872,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:452439,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:452557,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:553992,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:554138,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:652111,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:652520,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:652616,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:753711,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:754340,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:754192,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:866267,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:867822,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:868200,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:959965,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:961579,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:961886,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:060011,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:060643,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:31:060786,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:164565,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:165687,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:165829,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:31:252002,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:252409,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:252538,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:31:352285,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:352518,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:352618,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:31:465140,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:466178,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:466602,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:31:566976,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:569027,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:31:568756,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:656987,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:657287,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:31:657444,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:765647,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:766013,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:31:766269,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:864631,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:865202,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:865707,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:31:968157,Detected ARTags: ,"85, 86"
2017-11-30 17:40:31:969431,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:31:969981,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:070877,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:072163,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:32:072533,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:152676,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:153056,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:153137,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:32:253155,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:253785,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:32:253715,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:362529,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:363453,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:363628,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:32:467494,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:468094,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:32:468422,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:559701,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:560162,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:32:560477,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:656439,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:659534,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:659700,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:32:763446,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:764118,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:32:764358,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:867747,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:868839,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:32:869075,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:969961,Detected ARTags: ,"85, 86"
2017-11-30 17:40:32:970958,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:32:971211,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:053404,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:053712,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:053831,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:152218,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:152432,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:152563,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:252382,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:252660,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:252707,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:364044,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:366226,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:365825,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:467572,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:469003,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:469216,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:565664,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:567544,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:567958,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:666446,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:667650,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:668010,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:766000,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:767617,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:767970,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:865363,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:866432,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:866717,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:33:966955,Detected ARTags: ,"85, 86"
2017-11-30 17:40:33:967823,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:33:967981,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:067106,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:067908,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:34:068118,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:151791,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:152149,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:152107,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:34:252162,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:34:252400,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:252475,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:351570,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:351934,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:352051,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:34:465634,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:466015,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:34:466251,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:558460,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:559742,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:34:559968,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:659501,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:660019,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:660336,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:34:764621,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:765403,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:765644,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:34:864582,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:864972,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:865058,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:34:951688,Detected ARTags: ,"85, 86"
2017-11-30 17:40:34:952070,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:34:952000,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:051512,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:052012,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:051949,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:35:152229,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:152627,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:152750,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:35:260197,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:260992,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:35:261296,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:360377,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:361906,Detected ARTags: ,"[85, 86]"
