*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-05 16:56:00:428130,Child Name:,test
2017-12-05 16:56:14:442680,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:14:539676,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:14:540418,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:14:540794,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:14:740851,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:14:741476,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:14:741721,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:14:833870,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:14:834863,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:14:835029,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:14:934651,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:14:935051,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:14:935193,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:043717,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:044344,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:044896,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:140936,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:141522,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:141640,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:243553,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:244773,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:245054,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:332926,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:333816,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:333944,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:442739,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:443203,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:443309,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:527672,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:528458,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:528393,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:626088,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:626326,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:626407,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:725941,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:726075,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:726152,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:842488,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:842357,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:842799,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:15:931916,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:15:932199,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:15:932303,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:16:035296,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:16:035569,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:16:035767,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:16:242682,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:16:243194,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:16:243288,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:16:426357,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:16:426596,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:16:426730,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:16:526366,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:16:526930,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:16:527047,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:16:626532,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:16:626962,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:16:627052,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:16:743695,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:16:744046,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:16:744299,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:16:843367,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:16:844118,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:16:844413,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:16:934770,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:16:935665,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:16:935955,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:17:042775,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:043247,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:17:043345,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:17:139559,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:139801,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:17:251463,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:17:251656,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:251794,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:17:341436,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:343575,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:17:344066,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:17:444192,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:446265,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:17:446665,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:17:533188,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:533997,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:17:534109,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:17:629896,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:630901,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:17:631022,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:17:729156,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:729450,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:17:729560,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:17:826153,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:826297,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:17:926330,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:17:926660,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:17:926729,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:026432,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:18:026197,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:026607,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:142269,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:143408,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:144137,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:18:243970,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:245165,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:244974,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:18:344714,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:345018,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:18:345200,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:442249,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:442819,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:442991,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:18:547849,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:548614,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:18:548517,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:643234,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:644029,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:18:644245,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:745934,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:747708,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:18:747586,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:826109,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:826529,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:827521,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:18:925597,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:18:926157,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:18:926110,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:19:027849,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:027935,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:19:028040,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:143806,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:144348,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:19:144169,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:234337,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:234496,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:328829,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:329048,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:329244,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:19:443755,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:444711,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:445126,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:19:527357,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:527626,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:527532,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:19:641589,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:642680,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:19:642809,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:742503,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:743681,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:19:743886,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:833423,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:834635,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:19:834869,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:932950,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:19:933335,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:19:933491,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:20:034670,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:20:034869,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:20:035242,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:20:127235,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:20:127503,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:20:127594,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:20:240787,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:20:241096,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:20:241344,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:20:325818,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:20:325992,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:20:325944,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:20:426154,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:20:426599,Detected ARTags: ,"[ 47, 48]"
